epoch,step,train_auprc,train_auroc,train_loss,val_auprc,val_auroc,val_loss
0,73,,,,0.8333269357681274,0.8765254020690918,0.44477200508117676
0,73,0.8199689388275146,0.8526241183280945,0.4766874611377716,,,
1,147,,,,0.8473207354545593,0.8842655420303345,0.4213292896747589
1,147,0.837777853012085,0.8761394619941711,0.4363088607788086,,,
2,221,,,,0.872002124786377,0.8903197050094604,0.42322465777397156
2,221,0.8582971096038818,0.8815526366233826,0.425332635641098,,,
3,295,,,,0.8767676949501038,0.8933518528938293,0.42432937026023865
3,295,0.8650736808776855,0.8854312896728516,0.41890090703964233,,,
4,369,,,,0.8862712383270264,0.9006458520889282,0.3926622271537781
4,369,0.870123028755188,0.8909980058670044,0.4093702435493469,,,
5,443,,,,0.8778692483901978,0.8973759412765503,0.4062000811100006
5,443,0.8755784630775452,0.8953807950019836,0.40168288350105286,,,
6,517,,,,0.889991283416748,0.9033894538879395,0.3960541784763336
6,517,0.8787504434585571,0.898347020149231,0.3963567614555359,,,
7,591,,,,0.8950598239898682,0.9081993103027344,0.3845196068286896
7,591,0.8862496614456177,0.9014967679977417,0.3911616802215576,,,
8,665,,,,0.9041440486907959,0.9120054244995117,0.37549227476119995
8,665,0.8912830352783203,0.9052251577377319,0.38474753499031067,,,
9,739,,,,0.9055829048156738,0.9115127325057983,0.3737185299396515
9,739,0.8878083825111389,0.9045702219009399,0.38475796580314636,,,
10,813,,,,0.8988780975341797,0.9104735255241394,0.37519198656082153
10,813,0.8942887783050537,0.9076981544494629,0.37936946749687195,,,
11,887,,,,0.9024893641471863,0.912317156791687,0.3707922697067261
11,887,0.8967351913452148,0.9094558358192444,0.3754384219646454,,,
12,961,,,,0.9107847213745117,0.9173386096954346,0.36510902643203735
12,961,0.8991864323616028,0.910861611366272,0.37311890721321106,,,
13,1035,,,,0.9099009037017822,0.9176928400993347,0.36033469438552856
13,1035,0.9023963212966919,0.9137102365493774,0.3670721650123596,,,
14,1109,,,,0.91045081615448,0.9183008670806885,0.35809335112571716
14,1109,0.9031895399093628,0.9142614603042603,0.36600252985954285,,,
15,1183,,,,0.9129207134246826,0.9199563264846802,0.35665038228034973
15,1183,0.9045352935791016,0.9155352711677551,0.3637397885322571,,,
16,1257,,,,0.9086967706680298,0.9179806709289551,0.3619166910648346
16,1257,0.9053989052772522,0.915938138961792,0.3624509274959564,,,
17,1331,,,,0.9142059683799744,0.9213008880615234,0.35231393575668335
17,1331,0.9051854610443115,0.9167673587799072,0.360853910446167,,,
18,1405,,,,0.9094502925872803,0.9180221557617188,0.3614843785762787
18,1405,0.9054669141769409,0.9169759750366211,0.3600671589374542,,,
19,1479,,,,0.9129786491394043,0.9205397963523865,0.3547932803630829
19,1479,0.9055519104003906,0.9171323776245117,0.36031094193458557,,,
20,1553,,,,0.9035993814468384,0.9179971814155579,0.3601619601249695
20,1553,0.9090818762779236,0.9188479781150818,0.3566766381263733,,,
21,1627,,,,0.9159391522407532,0.9214661717414856,0.35359784960746765
21,1627,0.9091845750808716,0.9191392660140991,0.3556095361709595,,,
22,1701,,,,0.9168118834495544,0.9237792491912842,0.3475310802459717
22,1701,0.908676266670227,0.9199515581130981,0.35409316420555115,,,
23,1775,,,,0.9151618480682373,0.9232944846153259,0.34807994961738586
23,1775,0.9123285412788391,0.9218475222587585,0.35017210245132446,,,
24,1849,,,,0.9197829365730286,0.9262269735336304,0.3422015309333801
24,1849,0.913159966468811,0.9223065376281738,0.35018596053123474,,,
25,1923,,,,0.9198620319366455,0.9257149696350098,0.3465976119041443
25,1923,0.9145793914794922,0.9235442876815796,0.3466866910457611,,,
26,1997,,,,0.919703483581543,0.9265674352645874,0.34172001481056213
26,1997,0.9145745635032654,0.9234578609466553,0.3466205894947052,,,
27,2071,,,,0.9174535870552063,0.9244428277015686,0.3466203808784485
27,2071,0.9131666421890259,0.9230996370315552,0.34761542081832886,,,
28,2145,,,,0.9200514554977417,0.9262851476669312,0.34250614047050476
28,2145,0.9155092239379883,0.9238038063049316,0.3463021516799927,,,
29,2219,,,,0.9211887121200562,0.9272701740264893,0.3414967656135559
29,2219,0.9170275926589966,0.9252405166625977,0.3434397280216217,,,
30,2293,,,,0.9194104671478271,0.9272435903549194,0.34006574749946594
30,2293,0.916745662689209,0.9252109527587891,0.34336578845977783,,,
31,2367,,,,0.9206258654594421,0.9276893138885498,0.34020304679870605
31,2367,0.9178582429885864,0.9260355830192566,0.34142255783081055,,,
32,2441,,,,0.920752763748169,0.9281208515167236,0.3381185829639435
32,2441,0.918714702129364,0.92613285779953,0.34145084023475647,,,
33,2515,,,,0.92164146900177,0.9282370805740356,0.33830320835113525
33,2515,0.9181479215621948,0.9264187812805176,0.340442955493927,,,
34,2589,,,,0.9219078421592712,0.9284746646881104,0.33782336115837097
34,2589,0.9178974032402039,0.9260878562927246,0.3409472107887268,,,
35,2663,,,,0.9215463995933533,0.9283745288848877,0.33780843019485474
35,2663,0.9173738360404968,0.9260002970695496,0.3409731984138489,,,
36,2737,,,,0.9219385981559753,0.9285087585449219,0.3376051187515259
36,2737,0.9187757968902588,0.9270031452178955,0.33928972482681274,,,
37,2811,,,,0.9217909574508667,0.9284740090370178,0.3375762403011322
37,2811,0.9188902378082275,0.9269610643386841,0.3393547534942627,,,
38,2885,,,,0.9219557642936707,0.9285678863525391,0.33742573857307434
38,2885,0.9185564517974854,0.9269680976867676,0.33909934759140015,,,
39,2959,,,,0.921994149684906,0.9285900592803955,0.3373796343803406
39,2959,0.9195828437805176,0.9274938106536865,0.33854225277900696,,,
