epoch,step,train_auprc,train_auroc,train_loss,val_auprc,val_auroc,val_loss
0,73,,,,0.8291286826133728,0.8732487559318542,0.44476377964019775
0,73,0.8083672523498535,0.8382448554039001,0.4980812966823578,,,
1,147,,,,0.8411751985549927,0.8771234750747681,0.4401609003543854
1,147,0.8361419439315796,0.8774810433387756,0.4351541996002197,,,
2,221,,,,0.8678321838378906,0.8862857818603516,0.4189230501651764
2,221,0.8580583930015564,0.8830937147140503,0.4218229651451111,,,
3,295,,,,0.8645497560501099,0.8880810737609863,0.4149639904499054
3,295,0.8629052639007568,0.8864400386810303,0.4172775447368622,,,
4,369,,,,0.8620850443840027,0.887152910232544,0.4164976477622986
4,369,0.8708521723747253,0.8901888728141785,0.41091057658195496,,,
5,443,,,,0.8777244091033936,0.8966681957244873,0.4018212854862213
5,443,0.8782327175140381,0.8957750201225281,0.40140751004219055,,,
6,517,,,,0.8830156326293945,0.8961578607559204,0.4006534814834595
6,517,0.8822891712188721,0.8990082740783691,0.39621806144714355,,,
7,591,,,,0.8766171932220459,0.8963199853897095,0.40629249811172485
7,591,0.8859071135520935,0.9011794328689575,0.39267662167549133,,,
8,665,,,,0.884907603263855,0.8999346494674683,0.39708128571510315
8,665,0.8873443603515625,0.9032478928565979,0.3883725702762604,,,
9,739,,,,0.8929818868637085,0.904963493347168,0.3869229257106781
9,739,0.8917723894119263,0.9059272408485413,0.3834885060787201,,,
10,813,,,,0.8895856142044067,0.9032525420188904,0.39076441526412964
10,813,0.893000602722168,0.9080093502998352,0.37900495529174805,,,
11,887,,,,0.8971284627914429,0.9092051386833191,0.37813976407051086
11,887,0.8938307166099548,0.9085347056388855,0.3780446946620941,,,
12,961,,,,0.8868988752365112,0.90611732006073,0.38141417503356934
12,961,0.8976280689239502,0.9104433655738831,0.37377074360847473,,,
13,1035,,,,0.8955108523368835,0.91029953956604,0.37556207180023193
13,1035,0.8998197317123413,0.9127155542373657,0.36908066272735596,,,
14,1109,,,,0.9013465046882629,0.9124648571014404,0.37095749378204346
14,1109,0.9012657403945923,0.9139859080314636,0.3664134442806244,,,
15,1183,,,,0.9033649563789368,0.9136474132537842,0.3687121570110321
15,1183,0.9010589718818665,0.9144768714904785,0.3656643331050873,,,
16,1257,,,,0.9011339545249939,0.9134615659713745,0.36768805980682373
16,1257,0.9044854640960693,0.9161190390586853,0.36274516582489014,,,
17,1331,,,,0.904543399810791,0.9149855375289917,0.367110013961792
17,1331,0.9070389270782471,0.9175068140029907,0.3598780333995819,,,
18,1405,,,,0.9042752385139465,0.9156739115715027,0.36606866121292114
18,1405,0.9054562449455261,0.9167453050613403,0.36092817783355713,,,
19,1479,,,,0.9083843231201172,0.9175111055374146,0.3605463206768036
19,1479,0.9076070785522461,0.9186908602714539,0.35677409172058105,,,
20,1553,,,,0.9070718884468079,0.9173085689544678,0.36179476976394653
20,1553,0.9078450202941895,0.9182387590408325,0.357756108045578,,,
21,1627,,,,0.9057543277740479,0.9156547784805298,0.36502429842948914
21,1627,0.9077974557876587,0.9187743663787842,0.3570270240306854,,,
22,1701,,,,0.9043444395065308,0.9151555299758911,0.3670753538608551
22,1701,0.9093867540359497,0.9198976755142212,0.3546287715435028,,,
23,1775,,,,0.8949607610702515,0.9120849370956421,0.3723513185977936
23,1775,0.9084835052490234,0.9187377691268921,0.3572442829608917,,,
24,1849,,,,0.909258246421814,0.9191935062408447,0.35776692628860474
24,1849,0.9110587239265442,0.9203364849090576,0.35416242480278015,,,
25,1923,,,,0.9086734056472778,0.9179601073265076,0.36017170548439026
25,1923,0.9090818166732788,0.9201847314834595,0.3542381823062897,,,
26,1997,,,,0.9099481105804443,0.9190474152565002,0.3578503429889679
26,1997,0.9135741591453552,0.9222138524055481,0.3496795892715454,,,
27,2071,,,,0.9127929210662842,0.9208866357803345,0.3551596999168396
27,2071,0.9112616777420044,0.9209179878234863,0.35234495997428894,,,
28,2145,,,,0.9094637036323547,0.9183084964752197,0.3614308536052704
28,2145,0.9138153195381165,0.9233808517456055,0.3469129800796509,,,
29,2219,,,,0.9136784672737122,0.9214160442352295,0.3530799150466919
29,2219,0.9157795310020447,0.9240889549255371,0.3458566963672638,,,
30,2293,,,,0.9134259223937988,0.9211833477020264,0.35380175709724426
30,2293,0.9161562323570251,0.9239064455032349,0.34623220562934875,,,
31,2367,,,,0.9130458831787109,0.921745240688324,0.35319995880126953
31,2367,0.9151628017425537,0.9234174489974976,0.34725290536880493,,,
32,2441,,,,0.9144489169120789,0.9205695986747742,0.3565255403518677
32,2441,0.9174408316612244,0.924888551235199,0.3446255922317505,,,
33,2515,,,,0.909805417060852,0.9198328256607056,0.36076802015304565
33,2515,0.9185791015625,0.9255942106246948,0.34315893054008484,,,
34,2589,,,,0.9170077443122864,0.9238760471343994,0.3476148545742035
34,2589,0.9186662435531616,0.9259604215621948,0.34233954548835754,,,
35,2663,,,,0.913741946220398,0.9214081168174744,0.3527217507362366
35,2663,0.9185485243797302,0.9263477325439453,0.340620219707489,,,
36,2737,,,,0.9119287729263306,0.9194490909576416,0.35963645577430725
