epoch,step,train_auprc,train_auroc,train_loss,val_auprc,val_auroc,val_loss
0,73,,,,0.8371835947036743,0.8798660039901733,0.4541272521018982
0,73,0.8174188733100891,0.8533647656440735,0.4754943251609802,,,
1,147,,,,0.8552782535552979,0.8851544260978699,0.42379409074783325
1,147,0.8386704921722412,0.8769357204437256,0.4342750310897827,,,
2,221,,,,0.8666777610778809,0.8883605599403381,0.4229585528373718
2,221,0.8593844175338745,0.8833793997764587,0.42236635088920593,,,
3,295,,,,0.8747173547744751,0.894928514957428,0.4117352068424225
3,295,0.8602489233016968,0.8864439725875854,0.41612693667411804,,,
4,369,,,,0.8831125497817993,0.8967640399932861,0.40177276730537415
4,369,0.8672493696212769,0.8899145126342773,0.4102536141872406,,,
5,443,,,,0.8529894351959229,0.8846443295478821,0.4319402873516083
5,443,0.870568037033081,0.8935350179672241,0.4045741558074951,,,
6,517,,,,0.8791625499725342,0.899146318435669,0.40033960342407227
6,517,0.874143660068512,0.8955380916595459,0.40041086077690125,,,
7,591,,,,0.8916476964950562,0.902475118637085,0.391457200050354
7,591,0.8766124844551086,0.8986318707466125,0.39565175771713257,,,
8,665,,,,0.8884366750717163,0.9037811160087585,0.3878527879714966
8,665,0.882554292678833,0.9006119966506958,0.3928495943546295,,,
9,739,,,,0.8966546058654785,0.9095745086669922,0.37911882996559143
9,739,0.8895813226699829,0.9043707251548767,0.3858601152896881,,,
10,813,,,,0.8974412083625793,0.9102663993835449,0.37685200572013855
10,813,0.8916028738021851,0.9058653116226196,0.38320961594581604,,,
11,887,,,,0.9061862230300903,0.9125645756721497,0.3717256188392639
11,887,0.8953503370285034,0.9078888893127441,0.3795700669288635,,,
12,961,,,,0.8960058689117432,0.9034579396247864,0.3882707357406616
12,961,0.8996671438217163,0.9103473424911499,0.3741911053657532,,,
13,1035,,,,0.9048835635185242,0.9118775725364685,0.3734026849269867
13,1035,0.8991293907165527,0.9105851650238037,0.37351226806640625,,,
14,1109,,,,0.9091529846191406,0.9182872772216797,0.3577072322368622
14,1109,0.9010485410690308,0.9125751256942749,0.3700156509876251,,,
15,1183,,,,0.9078561067581177,0.9148430824279785,0.36489954590797424
15,1183,0.9061141610145569,0.9155738353729248,0.36420631408691406,,,
16,1257,,,,0.9098126292228699,0.9192929863929749,0.3674558699131012
16,1257,0.8985944390296936,0.9128503799438477,0.3688742518424988,,,
17,1331,,,,0.9128767251968384,0.9208090305328369,0.3537856638431549
17,1331,0.9047511219978333,0.9157519936561584,0.3633808493614197,,,
18,1405,,,,0.9108690023422241,0.9204996824264526,0.354532390832901
18,1405,0.903127908706665,0.9144327640533447,0.36593538522720337,,,
19,1479,,,,0.9047737121582031,0.917020857334137,0.3609929382801056
19,1479,0.9081323742866516,0.917940616607666,0.35898303985595703,,,
20,1553,,,,0.9156312942504883,0.9222005009651184,0.3512493073940277
20,1553,0.9079532623291016,0.9182223081588745,0.3585066795349121,,,
21,1627,,,,0.9158164262771606,0.9240700006484985,0.3482833206653595
21,1627,0.9099588394165039,0.9196277856826782,0.35548314452171326,,,
22,1701,,,,0.9136133193969727,0.9204880595207214,0.3555484712123871
22,1701,0.9083635807037354,0.9183594584465027,0.3579639196395874,,,
23,1775,,,,0.913082480430603,0.9209391474723816,0.3546084761619568
23,1775,0.9103635549545288,0.9199881553649902,0.35450199246406555,,,
24,1849,,,,0.9169356822967529,0.9240236282348633,0.3483159840106964
24,1849,0.9108431339263916,0.9204773306846619,0.35389983654022217,,,
25,1923,,,,0.9165220856666565,0.9233061075210571,0.34992551803588867
25,1923,0.910123348236084,0.9197527766227722,0.3549724519252777,,,
26,1997,,,,0.9169665575027466,0.9237534999847412,0.3477468490600586
26,1997,0.9114202857017517,0.9201728701591492,0.3541058599948883,,,
27,2071,,,,0.9197000861167908,0.9264023900032043,0.34257569909095764
27,2071,0.9144644737243652,0.9223359823226929,0.3494914770126343,,,
28,2145,,,,0.9159713387489319,0.9220128059387207,0.3516905903816223
28,2145,0.9149976968765259,0.9230139851570129,0.3479479253292084,,,
29,2219,,,,0.9185964465141296,0.9253730773925781,0.34388506412506104
29,2219,0.9114793539047241,0.9212778210639954,0.35143405199050903,,,
30,2293,,,,0.912632167339325,0.9224894046783447,0.35174858570098877
30,2293,0.9140646457672119,0.9233148097991943,0.3473878502845764,,,
31,2367,,,,0.917634129524231,0.9239518046379089,0.3480106592178345
31,2367,0.9136025905609131,0.9224064946174622,0.349328875541687,,,
32,2441,,,,0.9206569194793701,0.9268307685852051,0.34298449754714966
32,2441,0.9142016768455505,0.9233757853507996,0.3476843237876892,,,
33,2515,,,,0.9189279675483704,0.9253103733062744,0.3459170460700989
33,2515,0.913476824760437,0.9225834012031555,0.3491663932800293,,,
34,2589,,,,0.9217416048049927,0.9275230169296265,0.33980920910835266
34,2589,0.9150741100311279,0.9233459830284119,0.3475368022918701,,,
35,2663,,,,0.921711266040802,0.928214430809021,0.33878186345100403
35,2663,0.9166209101676941,0.9251596927642822,0.34365811944007874,,,
36,2737,,,,0.9196360111236572,0.9263896942138672,0.34563496708869934
36,2737,0.9171174168586731,0.9248746633529663,0.34442150592803955,,,
37,2811,,,,0.9193841218948364,0.9254101514816284,0.34481295943260193
37,2811,0.9177145957946777,0.9258708953857422,0.34168821573257446,,,
38,2885,,,,0.9228372573852539,0.9289106130599976,0.3381592333316803
38,2885,0.9173671007156372,0.9254568219184875,0.3430642783641815,,,
39,2959,,,,0.9171460866928101,0.924223005771637,0.34737569093704224
39,2959,0.9159334301948547,0.9242342710494995,0.3457329571247101,,,
40,3033,,,,0.9222787618637085,0.9281971454620361,0.3395877778530121
40,3033,0.9186129570007324,0.9261494874954224,0.3417392373085022,,,
41,3107,,,,0.9210125803947449,0.9273443222045898,0.34056007862091064
41,3107,0.9190350770950317,0.9268065094947815,0.3400140106678009,,,
42,3181,,,,0.9220316410064697,0.9291219115257263,0.336296409368515
42,3181,0.9192531704902649,0.9265615940093994,0.34093210101127625,,,
43,3255,,,,0.923436164855957,0.9279688596725464,0.3394484519958496
43,3255,0.9199597239494324,0.9267849922180176,0.33983853459358215,,,
44,3329,,,,0.9215109348297119,0.9275205135345459,0.3401552736759186
44,3329,0.9205552339553833,0.9275743365287781,0.3389498293399811,,,
45,3403,,,,0.9232387542724609,0.9289939999580383,0.33798879384994507
45,3403,0.920774519443512,0.927995502948761,0.3377401828765869,,,
46,3477,,,,0.92432701587677,0.9293922185897827,0.3382323682308197
46,3477,0.9202526807785034,0.9276512861251831,0.3380937874317169,,,
47,3551,,,,0.9223348498344421,0.9284572601318359,0.3389996588230133
47,3551,0.9201657176017761,0.9272946119308472,0.33941006660461426,,,
48,3625,,,,0.9230042695999146,0.9294230341911316,0.33599984645843506
48,3625,0.9212826490402222,0.928349494934082,0.3366621136665344,,,
49,3699,,,,0.9236416816711426,0.9291657209396362,0.33662843704223633
49,3699,0.9224178791046143,0.9293299913406372,0.33469638228416443,,,
50,3773,,,,0.9257344007492065,0.9308685660362244,0.33343738317489624
50,3773,0.9213744401931763,0.9285151958465576,0.33672189712524414,,,
51,3847,,,,0.9233930706977844,0.9299702644348145,0.33470723032951355
51,3847,0.9225961565971375,0.9294029474258423,0.33468860387802124,,,
52,3921,,,,0.9253474473953247,0.9306023120880127,0.33574071526527405
52,3921,0.9225239157676697,0.9292378425598145,0.3353385031223297,,,
53,3995,,,,0.9254657626152039,0.9305421113967896,0.3358917236328125
