epoch,step,train_auprc,train_auroc,train_loss,val_auprc,val_auroc,val_loss
0,78,,,,0.8326277732849121,0.8772175908088684,0.4395817816257477
0,78,0.8188514709472656,0.8518462777137756,0.47864365577697754,,,
1,157,,,,0.8618607521057129,0.883265495300293,0.4273745119571686
1,157,0.8424593806266785,0.8768113851547241,0.4348776936531067,,,
2,236,,,,0.8694131374359131,0.8885794878005981,0.41330164670944214
2,236,0.8640807867050171,0.8848956823348999,0.41988179087638855,,,
3,315,,,,0.8723785877227783,0.8926247954368591,0.40641117095947266
3,315,0.8698950409889221,0.8896058797836304,0.4123993217945099,,,
4,394,,,,0.8735820651054382,0.8923979997634888,0.41828954219818115
4,394,0.8739829063415527,0.8936887979507446,0.4053418040275574,,,
5,473,,,,0.8774893283843994,0.8976709246635437,0.4025925397872925
5,473,0.8770322799682617,0.8958231210708618,0.4014005959033966,,,
6,552,,,,0.8774416446685791,0.8989852666854858,0.3937932550907135
6,552,0.8831214904785156,0.9001707434654236,0.39368173480033875,,,
7,631,,,,0.8777672648429871,0.9040374755859375,0.39197105169296265
7,631,0.8878495693206787,0.9019010066986084,0.390746146440506,,,
8,710,,,,0.8891720175743103,0.9050046801567078,0.38727572560310364
8,710,0.8926567435264587,0.9050575494766235,0.38533881306648254,,,
9,789,,,,0.894687294960022,0.9075073003768921,0.3794119954109192
9,789,0.8914263248443604,0.9049679636955261,0.3849552571773529,,,
10,868,,,,0.8917096853256226,0.9081026315689087,0.378368616104126
10,868,0.8961236476898193,0.9081006646156311,0.3792893886566162,,,
11,947,,,,0.8937953114509583,0.9102296233177185,0.3783084452152252
11,947,0.898723840713501,0.9098921418190002,0.37549903988838196,,,
12,1026,,,,0.8981716632843018,0.9123157262802124,0.3714337646961212
12,1026,0.8992916345596313,0.9102206230163574,0.37455835938453674,,,
13,1105,,,,0.8965567350387573,0.9114962220191956,0.37123623490333557
13,1105,0.9006574153900146,0.9118495583534241,0.3714941143989563,,,
14,1184,,,,0.9028595089912415,0.914363443851471,0.36608368158340454
14,1184,0.901697039604187,0.9127987623214722,0.3693840205669403,,,
15,1263,,,,0.9027901887893677,0.9142122268676758,0.36655646562576294
15,1263,0.904660701751709,0.9140638709068298,0.36716750264167786,,,
16,1342,,,,0.8988701105117798,0.9112469553947449,0.3726901710033417
16,1342,0.901549220085144,0.9134657382965088,0.3680318593978882,,,
17,1421,,,,0.903823733329773,0.9172842502593994,0.3597979247570038
17,1421,0.9056833982467651,0.9159460663795471,0.3628215193748474,,,
18,1500,,,,0.9050365090370178,0.9164658784866333,0.36177489161491394
18,1500,0.9057071208953857,0.9159618616104126,0.3630235195159912,,,
19,1579,,,,0.9068650603294373,0.9167127013206482,0.3632732033729553
19,1579,0.9071270227432251,0.9172418117523193,0.36035940051078796,,,
20,1658,,,,0.9076747894287109,0.9180737733840942,0.35766637325286865
20,1658,0.9072399735450745,0.9170002341270447,0.36081594228744507,,,
21,1737,,,,0.9055584669113159,0.916864275932312,0.367489218711853
21,1737,0.9087218642234802,0.9186618328094482,0.3572819232940674,,,
22,1816,,,,0.9018371105194092,0.9149236679077148,0.36473047733306885
22,1816,0.9080265760421753,0.9181067943572998,0.35860347747802734,,,
23,1895,,,,0.9068161249160767,0.9194161891937256,0.3552308976650238
23,1895,0.9100997447967529,0.9195685386657715,0.35554277896881104,,,
24,1974,,,,0.9053239822387695,0.9183130264282227,0.35996970534324646
24,1974,0.9090368747711182,0.9192684292793274,0.35566407442092896,,,
25,2053,,,,0.9089897274971008,0.919739842414856,0.3539268374443054
25,2053,0.9107096195220947,0.9197176694869995,0.3551400303840637,,,
26,2132,,,,0.9121726751327515,0.921207070350647,0.3520405888557434
26,2132,0.9111813306808472,0.9200757741928101,0.3540290296077728,,,
27,2211,,,,0.9122649431228638,0.9222123622894287,0.35009685158729553
27,2211,0.9135086536407471,0.9217705130577087,0.35139816999435425,,,
28,2290,,,,0.9104020595550537,0.9221888184547424,0.35179051756858826
28,2290,0.9141771197319031,0.92212975025177,0.3504782021045685,,,
29,2369,,,,0.9073463678359985,0.9196100234985352,0.3579474985599518
29,2369,0.9129612445831299,0.9211300611495972,0.35196852684020996,,,
30,2448,,,,0.9111431837081909,0.920208215713501,0.35685965418815613
30,2448,0.9140506386756897,0.9221291542053223,0.3505806028842926,,,
31,2527,,,,0.9131914973258972,0.922534704208374,0.34956347942352295
31,2527,0.9149371385574341,0.9226791858673096,0.3497849404811859,,,
32,2606,,,,0.9112951755523682,0.9217095375061035,0.3529202938079834
32,2606,0.9127472639083862,0.9213771224021912,0.35179421305656433,,,
