epoch,step,train_auprc,train_auroc,train_loss,val_auprc,val_auroc,val_loss
0,73,,,,0.8249250054359436,0.873082160949707,0.4446946978569031
0,73,0.8240306377410889,0.8564659357070923,0.4711129069328308,,,
1,147,,,,0.8606665730476379,0.8840158581733704,0.42255812883377075
1,147,0.8413373827934265,0.8786358833312988,0.4322945177555084,,,
2,221,,,,0.8412678241729736,0.8802013397216797,0.4276747703552246
2,221,0.8637729287147522,0.8855056166648865,0.4189828336238861,,,
3,295,,,,0.8727846145629883,0.8897417187690735,0.41528257727622986
3,295,0.868481457233429,0.8882465362548828,0.415282279253006,,,
4,369,,,,0.8760387897491455,0.8956018090248108,0.4026758670806885
4,369,0.8731197118759155,0.8937729001045227,0.40527766942977905,,,
5,443,,,,0.8771250247955322,0.8972650766372681,0.3993474543094635
5,443,0.8760325312614441,0.8961551785469055,0.4003278315067291,,,
6,517,,,,0.8721369504928589,0.8961459398269653,0.4104654788970947
6,517,0.8810960054397583,0.8986842632293701,0.39631229639053345,,,
7,591,,,,0.8864349126815796,0.9009424448013306,0.3978753089904785
7,591,0.8835636973381042,0.899360716342926,0.395612895488739,,,
8,665,,,,0.8870745897293091,0.9014323949813843,0.392146497964859
8,665,0.8844283819198608,0.9011325836181641,0.3915843069553375,,,
9,739,,,,0.8933994174003601,0.9065035581588745,0.3830735981464386
9,739,0.8893598318099976,0.9044617414474487,0.3859671354293823,,,
10,813,,,,0.8952545523643494,0.909298837184906,0.37870079278945923
10,813,0.8901892900466919,0.9055780172348022,0.3835695683956146,,,
11,887,,,,0.9008291959762573,0.910199761390686,0.37566885352134705
11,887,0.8959386348724365,0.9091163277626038,0.37675246596336365,,,
12,961,,,,0.8983744382858276,0.9106099009513855,0.377106249332428
12,961,0.8969919085502625,0.9097044467926025,0.37570610642433167,,,
13,1035,,,,0.8825163841247559,0.9019724726676941,0.3923420310020447
13,1035,0.8983840942382812,0.9110275506973267,0.37220999598503113,,,
14,1109,,,,0.9065051078796387,0.9149963855743408,0.3655203878879547
14,1109,0.9010531306266785,0.9124762415885925,0.37020859122276306,,,
15,1183,,,,0.9000993371009827,0.9130013585090637,0.37016648054122925
15,1183,0.8998164534568787,0.9135887026786804,0.36739665269851685,,,
16,1257,,,,0.9017218351364136,0.9105000495910645,0.3741724491119385
16,1257,0.9028453826904297,0.9142380952835083,0.3660278916358948,,,
17,1331,,,,0.909695029258728,0.9183673858642578,0.3572060167789459
17,1331,0.9040892720222473,0.9148204326629639,0.3650784492492676,,,
18,1405,,,,0.9095748662948608,0.9168130159378052,0.3626800775527954
18,1405,0.9078834652900696,0.9178579449653625,0.358860045671463,,,
19,1479,,,,0.9089665412902832,0.9187556505203247,0.35738563537597656
19,1479,0.9088757038116455,0.9183012843132019,0.3582337200641632,,,
20,1553,,,,0.9093385338783264,0.9172059297561646,0.3632046580314636
20,1553,0.9093489646911621,0.9194161891937256,0.35673224925994873,,,
21,1627,,,,0.9081827402114868,0.916666567325592,0.3610609471797943
21,1627,0.9086772203445435,0.9185231924057007,0.35770079493522644,,,
22,1701,,,,0.9070538282394409,0.9186609983444214,0.3591773808002472
22,1701,0.9097690582275391,0.9196670055389404,0.35586148500442505,,,
23,1775,,,,0.9124569892883301,0.9208892583847046,0.35329991579055786
23,1775,0.9099347591400146,0.9194907546043396,0.3555152416229248,,,
24,1849,,,,0.9132000207901001,0.9219781160354614,0.35021573305130005
24,1849,0.9115501046180725,0.9206429719924927,0.35323962569236755,,,
25,1923,,,,0.9066904187202454,0.9196778535842896,0.3549356162548065
25,1923,0.9101089835166931,0.9203490018844604,0.35383957624435425,,,
26,1997,,,,0.909246027469635,0.9188950061798096,0.35622572898864746
26,1997,0.9124821424484253,0.9216336011886597,0.3518034815788269,,,
27,2071,,,,0.9149500131607056,0.9225679636001587,0.3502310514450073
27,2071,0.9114974141120911,0.920680046081543,0.3531266450881958,,,
28,2145,,,,0.9164512157440186,0.9236927032470703,0.3477477729320526
28,2145,0.9131576418876648,0.9215872883796692,0.35157719254493713,,,
29,2219,,,,0.913872480392456,0.9230728149414062,0.3476724326610565
29,2219,0.9138644933700562,0.9221348762512207,0.35045287013053894,,,
30,2293,,,,0.915074348449707,0.9228724837303162,0.34904199838638306
30,2293,0.9133511781692505,0.9219717979431152,0.35050275921821594,,,
31,2367,,,,0.9167896509170532,0.9240442514419556,0.34616273641586304
31,2367,0.9155648350715637,0.9233510494232178,0.34820786118507385,,,
