epoch,step,train_auprc,train_auroc,train_loss,val_auprc,val_auroc,val_loss
0,78,,,,0.830512285232544,0.8768293857574463,0.44402015209198
0,78,0.8176388740539551,0.8516789078712463,0.4787489175796509,,,
1,157,,,,0.8383232355117798,0.8811953067779541,0.4236741065979004
1,157,0.8383027911186218,0.8755655884742737,0.4387489855289459,,,
2,236,,,,0.8649895191192627,0.8884643316268921,0.4279170334339142
2,236,0.8583797216415405,0.8823715448379517,0.4247794449329376,,,
3,315,,,,0.8528014421463013,0.884546160697937,0.45329779386520386
3,315,0.8674856424331665,0.888169527053833,0.41545477509498596,,,
4,394,,,,0.8722231984138489,0.8932299613952637,0.4135904312133789
4,394,0.8710886240005493,0.8908383250236511,0.4106198847293854,,,
5,473,,,,0.8718573451042175,0.893633246421814,0.4028804302215576
5,473,0.8763301372528076,0.8937837481498718,0.40528565645217896,,,
6,552,,,,0.8775613903999329,0.901112973690033,0.39005807042121887
6,552,0.8784506320953369,0.8972886800765991,0.39844176173210144,,,
7,631,,,,0.8723511695861816,0.894149899482727,0.4195019602775574
7,631,0.8843497633934021,0.9009745121002197,0.39162886142730713,,,
8,710,,,,0.8908559679985046,0.906309187412262,0.38240745663642883
8,710,0.8845945596694946,0.8999565839767456,0.3940489590167999,,,
9,789,,,,0.8929306864738464,0.9040423631668091,0.38761940598487854
9,789,0.8856304883956909,0.9023284912109375,0.38974323868751526,,,
10,868,,,,0.896407961845398,0.9095507860183716,0.37704917788505554
10,868,0.8951691389083862,0.9056650996208191,0.3844272792339325,,,
11,947,,,,0.889163076877594,0.9048312902450562,0.3864271640777588
11,947,0.8934510946273804,0.9075298309326172,0.3795638978481293,,,
12,1026,,,,0.8913415670394897,0.908547043800354,0.3797270357608795
12,1026,0.8957650065422058,0.9082360863685608,0.3785322606563568,,,
13,1105,,,,0.8788907527923584,0.8989083766937256,0.39867720007896423
13,1105,0.8988329768180847,0.9103080034255981,0.37435880303382874,,,
14,1184,,,,0.8990468978881836,0.9125150442123413,0.37034136056900024
14,1184,0.8998967409133911,0.9110857248306274,0.37361159920692444,,,
15,1263,,,,0.8986928462982178,0.9127461314201355,0.3690776228904724
15,1263,0.9017699956893921,0.9124277830123901,0.3698520362377167,,,
16,1342,,,,0.9024853706359863,0.9134613871574402,0.3731622099876404
16,1342,0.9023663401603699,0.9129044413566589,0.36897918581962585,,,
17,1421,,,,0.9038388133049011,0.9151930212974548,0.3673846423625946
17,1421,0.9010988473892212,0.9131561517715454,0.3686736226081848,,,
18,1500,,,,0.9069960713386536,0.9176366925239563,0.3599098026752472
18,1500,0.9036561250686646,0.9151849746704102,0.3648471534252167,,,
19,1579,,,,0.9090372323989868,0.9190108180046082,0.35749268531799316
19,1579,0.9056951403617859,0.9159302711486816,0.36343148350715637,,,
20,1658,,,,0.9095752239227295,0.9179332256317139,0.36034807562828064
20,1658,0.9079672694206238,0.9181156158447266,0.3584350645542145,,,
21,1737,,,,0.9082648754119873,0.9191545248031616,0.35571715235710144
21,1737,0.9095368385314941,0.9185570478439331,0.35810554027557373,,,
22,1816,,,,0.9022231698036194,0.9141848683357239,0.3651943504810333
22,1816,0.9084140658378601,0.9188175201416016,0.35696449875831604,,,
23,1895,,,,0.9124807119369507,0.9214237928390503,0.35346749424934387
23,1895,0.9071208238601685,0.9182640910148621,0.3582826554775238,,,
24,1974,,,,0.9102662801742554,0.9201859831809998,0.356028288602829
24,1974,0.9111204743385315,0.9195734858512878,0.35534217953681946,,,
25,2053,,,,0.9116811752319336,0.9210323095321655,0.3522878587245941
25,2053,0.9126242399215698,0.9211912155151367,0.35180583596229553,,,
26,2132,,,,0.9141472578048706,0.922222912311554,0.35094642639160156
26,2132,0.9117311835289001,0.920570969581604,0.35395893454551697,,,
27,2211,,,,0.9027066230773926,0.9161490201950073,0.3614738881587982
27,2211,0.9127829074859619,0.921303391456604,0.35219648480415344,,,
