geo_key
"{""type"":""Point"",""coordinates"":[-116.95325009544761,46.0073404150967]}"
"{""type"":""Point"",""coordinates"":[-116.95685510857858,46.184808772272184]}"
"{""type"":""Point"",""coordinates"":[-116.95772499161646,46.165462953047104]}"
"{""type"":""Point"",""coordinates"":[-116.96128151513368,46.02157998952728]}"
"{""type"":""Point"",""coordinates"":[-116.97407362025065,46.02276382185899]}"
"{""type"":""Point"",""coordinates"":[-116.97712129893223,46.26129269021839]}"
"{""type"":""Point"",""coordinates"":[-116.97897426212876,46.068790728021156]}"
"{""type"":""Point"",""coordinates"":[-116.98232873448376,46.17514844742999]}"
"{""type"":""Point"",""coordinates"":[-116.98748675059211,46.074222256271106]}"
"{""type"":""Point"",""coordinates"":[-116.98823740991082,46.17859506552711]}"
"{""type"":""Point"",""coordinates"":[-116.99303930709353,46.103563604432]}"
"{""type"":""Point"",""coordinates"":[-116.99721670798031,46.27236369928135]}"
"{""type"":""Point"",""coordinates"":[-117.01068869305735,46.01373242942433]}"
"{""type"":""Point"",""coordinates"":[-117.01403193497087,46.150830417481]}"
"{""type"":""Point"",""coordinates"":[-117.0148055189781,46.14960868195213]}"
"{""type"":""Point"",""coordinates"":[-117.01596944422971,46.25773423452812]}"
"{""type"":""Point"",""coordinates"":[-117.01880081260443,46.13539976725575]}"
"{""type"":""Point"",""coordinates"":[-117.03528567854303,46.16620447521064]}"
"{""type"":""Point"",""coordinates"":[-117.03745289304887,48.266747311949665]}"
"{""type"":""Point"",""coordinates"":[-117.03746307594052,46.152360183359534]}"
"{""type"":""Point"",""coordinates"":[-117.03752526406197,48.74638979766762]}"
"{""type"":""Point"",""coordinates"":[-117.03948264191034,46.91480143398485]}"
"{""type"":""Point"",""coordinates"":[-117.04008533605125,48.32693426393759]}"
"{""type"":""Point"",""coordinates"":[-117.04013724028349,46.41974488571223]}"
"{""type"":""Point"",""coordinates"":[-117.04017916090957,46.234290445954855]}"
"{""type"":""Point"",""coordinates"":[-117.04188081690339,46.011712341202134]}"
"{""type"":""Point"",""coordinates"":[-117.0423893020075,46.77621932496051]}"
"{""type"":""Point"",""coordinates"":[-117.04282057145917,46.14768347941576]}"
"{""type"":""Point"",""coordinates"":[-117.04304553707996,47.569886080397076]}"
"{""type"":""Point"",""coordinates"":[-117.04316280332112,47.34829880610537]}"
"{""type"":""Point"",""coordinates"":[-117.04557776173495,47.03902081610973]}"
"{""type"":""Point"",""coordinates"":[-117.04562422048073,46.64794171836575]}"
"{""type"":""Point"",""coordinates"":[-117.04576244794437,46.05277325996457]}"
"{""type"":""Point"",""coordinates"":[-117.04674841622052,46.01589262179277]}"
"{""type"":""Point"",""coordinates"":[-117.04770253529612,46.68877469252195]}"
"{""type"":""Point"",""coordinates"":[-117.04771159573036,48.02893847875117]}"
"{""type"":""Point"",""coordinates"":[-117.04850854204845,46.79982956289658]}"
"{""type"":""Point"",""coordinates"":[-117.04889803841439,48.52325452000911]}"
"{""type"":""Point"",""coordinates"":[-117.04946217482008,47.329202388136]}"
"{""type"":""Point"",""coordinates"":[-117.05126754992186,48.75189239536033]}"
"{""type"":""Point"",""coordinates"":[-117.05201322834743,47.77475518504806]}"
"{""type"":""Point"",""coordinates"":[-117.05251487149663,48.66686913177215]}"
"{""type"":""Point"",""coordinates"":[-117.05309675289709,48.134157204020305]}"
"{""type"":""Point"",""coordinates"":[-117.0535871773456,47.812782631903836]}"
"{""type"":""Point"",""coordinates"":[-117.05363455490625,46.3147154779786]}"
"{""type"":""Point"",""coordinates"":[-117.05420127154339,48.03836239369449]}"
"{""type"":""Point"",""coordinates"":[-117.05451009121126,48.44516941784658]}"
"{""type"":""Point"",""coordinates"":[-117.05481569653952,48.136567113546164]}"
"{""type"":""Point"",""coordinates"":[-117.05511965899689,48.805659050276546]}"
"{""type"":""Point"",""coordinates"":[-117.05580188402332,47.22727736775605]}"
"{""type"":""Point"",""coordinates"":[-117.05595910344022,47.0097464034637]}"
"{""type"":""Point"",""coordinates"":[-117.05649218462939,46.58519842306589]}"
"{""type"":""Point"",""coordinates"":[-117.05849738370672,47.649580509190116]}"
"{""type"":""Point"",""coordinates"":[-117.0586423276906,47.022697503949686]}"
"{""type"":""Point"",""coordinates"":[-117.05888086522425,47.148675755939884]}"
"{""type"":""Point"",""coordinates"":[-117.05989085004822,47.37967551342481]}"
"{""type"":""Point"",""coordinates"":[-117.06007847293263,46.25306519282393]}"
"{""type"":""Point"",""coordinates"":[-117.0607302724925,46.99158498211704]}"
"{""type"":""Point"",""coordinates"":[-117.06090353538697,48.17001751210284]}"
"{""type"":""Point"",""coordinates"":[-117.06104812651118,47.736644610703976]}"
"{""type"":""Point"",""coordinates"":[-117.06313073337938,47.925854876216974]}"
"{""type"":""Point"",""coordinates"":[-117.06426518714474,48.53787856574917]}"
"{""type"":""Point"",""coordinates"":[-117.0648105006687,48.73254950399798]}"
"{""type"":""Point"",""coordinates"":[-117.06521311430193,47.57905288001426]}"
"{""type"":""Point"",""coordinates"":[-117.06556296404221,46.486156495817006]}"
"{""type"":""Point"",""coordinates"":[-117.06615044502763,48.04427681146608]}"
"{""type"":""Point"",""coordinates"":[-117.06650980128407,48.774222199187]}"
"{""type"":""Point"",""coordinates"":[-117.06660757258146,46.615930423533634]}"
"{""type"":""Point"",""coordinates"":[-117.06764956048018,46.22639079823487]}"
"{""type"":""Point"",""coordinates"":[-117.06780693160785,46.50730475377412]}"
"{""type"":""Point"",""coordinates"":[-117.068229813653,48.88105464625109]}"
